Please visit the following page to learn about the Chinavasion Product Status Log:,,,http://www.chinavasion.com/product-status-log,,,,,
Date,Model,Product Name,Chinavasion shop URL,Action,Date product is expected back in stock,Status,New alternatives recommended for customers,Other products recommended for customers
2012-06-05,CVPU-I184,"GSM Remote Surveillance Camera (Quad-band, Nightvision, Motion Detection, Wireless Alarm Sync)",http://www.chinavasion.com/mini-cameras/gsm-remote-surveillance-camera-quadband-nightvision-motion-detection-wireless-alarm-sync/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/mini-cameras/gsm-remote-security-camera-with-nightvision-motion-detection-red/,http://www.chinavasion.com/wireless-camera-sets/gsm-remote-security-camera-quadband-motion-detection-nightvision/
2012-06-05,CVSB-G361,Rotating Iris Eye Clock (Novelty Desktop Gadget),http://www.chinavasion.com/cool-gadgets/rotating-iris-eye-clock-novelty-desktop-gadget/,"Product closed, put offline",2012-06-14,Product expected back in stock - see date.,,
2012-06-05,CVSB-G368,Flying Alarm Clock,http://www.chinavasion.com/cool-gadgets/flying-alarm-clock/,"Product closed, put offline",2012-06-15,Product expected back in stock - see date.,,
2012-06-05,CVXK-G419,GPS Tracker Phone for Kids with SOS Calls and Voice Monitoring (Worldwide Quadband GSM),http://www.chinavasion.com/gps-tracking-devices/gps-tracker-phone-for-kids-with-sos-calls-and-voice-monitoring-worldwide-quadband-gsm/,"Product closed, put offline",2012-06-08,Product expected back in stock - see date.,,
2012-06-05,CVUT-M227,CyberRaider - 3G Android 2.2 Smartphone with 3.5 Inch Multi-Touch Capacitive Touchscreen (WiFi),http://www.chinavasion.com/android-tablets-phones/cyberraider-3g-android-22-smartphone-with-35-inch-multitouch-capacitive-touchscreen-wifi/,"Product open, back on line",,,,
2012-06-05,CVSN-G427,"OBD Intelligent Car Alarm System for Toyota (GSM, CANBUS Plug-and-Play)",http://www.chinavasion.com/car-alarm-car-security/obd-intelligent-car-alarm-system-for-toyota-gsm-canbus-plugandplay/,"Product open, back on line",,,,
2012-06-05,CVXE-E209,10 Inch Swivel Screen Portable Multimedia DVD Player,http://www.chinavasion.com/portable-dvd-players/10-inch-swivel-screen-portable-multimedia-dvd-player/,"Product open, back on line",,,,
2012-06-05,CVDLM-B1101,Mobile Phone Blocking Bag,http://www.chinavasion.com/product_info.php/pName/mobile-phone-blocking-bag/,"Product closed, put offline",,This product is no longer available and is not coming back.,We will launch a new product soon which is similar to this product.,
2012-06-05,CVLI-G201,GPS Tracker Deluxe (Two Way Calling + SMS Functions),http://www.chinavasion.com/product_info.php/pName/gps-tracker-deluxe-two-way-calling-sms-functions/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/product_info.php/pName/gps-car-tracker/,
2012-06-05,CVSH-I93,CCTV Security Camera with Sony Super HAD CCD and Nightvision,http://www.chinavasion.com/wired-cctv-cameras/cvshi93/,"Product closed, put offline",2012-06-15,Product expected back in stock - see date.,,
2012-06-05,CVSB-K178,"Ultra-Thin Aluminum Bluetooth Keyboard for iPhone, iPad, and iPad2",http://www.chinavasion.com/mouse-keyboard/ultrathin-aluminum-bluetooth-keyboard-for-iphone-ipad-and-ipad2/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/tablet-pc-accessories/bluetooth-keyboard-and-holder-for-tablets-ipad-2-ipad3-samsung-galaxy-tab-asus-eee-pad-xoom-and-more/,http://www.chinavasion.com/cool-gadgets/ultrathin-bluetooth-keyboard-case-for-ipad2/
2012-06-05,CVEZJ-6713DB,Large Screen Bluetooth Car DVD Player - 1-Din,http://www.chinavasion.com/product_info.php/pName/large-screen-bluetooth-car-dvd-player-1din/,"Product open, back on line",,,,
2012-06-05,CVSCL-8104-Deluxe,LED Color Changing Faucet Light - Deluxe Edition,http://www.chinavasion.com/product_info.php/pName/led-color-changing-faucet-light-deluxe-edition/,"Product open, back on line",,,,
2012-06-05,CVNI-G170,GPS Cellphone Wrist Watch,http://www.chinavasion.com/product_info.php/pName/gps-cellphone-wrist-watch/,"Product open, back on line",,,,
2012-06-05,CVQD-G220,Key Finder (Transmitter and Receiver Kit),http://www.chinavasion.com/product_info.php/pName/key-finder-transmitter-and-receiver-kit/,"Product open, back on line",,,,
2012-06-05,CVGC-LT58,Flexible Blue LED Strip (7 Meters),http://www.chinavasion.com/led-flashlights/flexible-blue-led-strip-7m/,"Product open, back on line",,,,
2012-06-05,CVHF-S27,Solar Charger and Battery with Dual Charging Panels,http://www.chinavasion.com/product_info.php/pName/solar-charger-and-battery-with-dual-charging-panels/,"Product open, back on line",,,,
2012-06-05,CVAU-C106,"Shockwave Lite - 7 Inch HD Touch Car DVD Player (GPS, MP4)",http://www.chinavasion.com/1-din-large-screen/shockwave-lite-7-inch-hd-touch-car-dvd-player-gps-mp4/,"Product open, back on line",,,,
2012-06-05,CVVE-C131,"Road Gator 7 Inch Touchscreen Car DVD (1DIN, GPS, DVB-T)",http://www.chinavasion.com/1-din-large-screen/road-gator-7-inch-touchscreen-car-dvd-1din-gps-dvbt/,"Product open, back on line",,,,
2012-06-05,CVVO-M281,Wireless Quadband GSM Desk Phone,http://www.chinavasion.com/cool-gadgets/wireless-quadband-gsm-desk-phone/,"Product open, back on line",,,,
2012-06-05,CVFU-DV84,5MP Digital Camera and 720P Camcorder with Optical Telescope Zoom and Wide-angle Lens,http://www.chinavasion.com/hd-camcorders/5mp-digital-camera-and-720p-camcorder-with-optical-telescope-zoom-and-wideangle-lens-/,"Product open, back on line",,,,
2012-06-04,CVSE-DV01,MPEG4 Digital Video Camcorder With Optical Telescope Zoom Lens,http://www.chinavasion.com/product_info.php/pName/mpeg4-digital-video-camcorder-with-optical-telescope-zoom-lens/,"Product closed, put offline",2012-06-08,Product expected back in stock - see date.,,
2012-06-04,CVSA-C13,Car Stereo AV System with Bluetooth (1-DIN),http://www.chinavasion.com/product_info.php/pName/car-stereo-av-system-with-bluetooth-1din/,"Product open, back on line",,,,
2012-06-04,CVIR-C129,"Road Explorer 7 Inch Touchscreen Car DVD (1DIN, GPS, DVB-T)",http://www.chinavasion.com/1-din-builtin-tft/road-explorer-7-inch-touchscreen-car-dvd-1din-gps-dvbt/,"Product open, back on line",,,,
2012-06-04,CVWE-G414,Flexible Roll Up Synthesizer Keyboard Piano with Soft Keys,http://www.chinavasion.com/cool-gadgets/flexible-roll-up-synthesizer-keyboard-piano-with-soft-keys/,"Product open, back on line",,,,
2012-06-04,CVHF-S27,Solar Charger and Battery with Dual Charging Panels,http://www.chinavasion.com/product_info.php/pName/solar-charger-and-battery-with-dual-charging-panels/,"Product closed, put offline",2012-06-07,Product expected back in stock - see date.,,
2012-06-04,CVFY-C89,7 Inch Headrest DVD Player with DVB-T + Gaming System (Pair),http://www.chinavasion.com/headrest-armrest-monitors/cvfyc89/,"Product closed, put offline",2012-06-14,Product expected back in stock - see date.,,
2012-06-04,CVSB-J60,Wireless Audio Video Transmitter Receiver System,http://www.chinavasion.com/wireless-receivers/cvsbj60/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/wireless-receivers/longinus-pro-wireless-signal-booster-receiver-kit-for-security-cams-1500m-range-24ghz/,http://www.chinavasion.com/product_info.php/pName/wireless-signal-booster-and-receiver-kit-300-meter-monster/
2012-06-04,CVSB-G321,"Capacitive Touchscreen Stylus for iPhone, iPad, Smartphones, Tablets",http://www.chinavasion.com/cool-gadgets/capacitive-touchscreen-stylus-for-iphone-ipad-smartphones-tablets/,"Product closed, put offline",2012-06-08,Product expected back in stock - see date.,,
2012-06-04,CVVX-M193,Spectra - QWERTY Android 2.2 Smartphone (Wi-Fi Touchscreen Dual SIM),http://www.chinavasion.com/android-tablets-phones/spectra-qwerty-android-22-smartphone-wifi-touchscreen-dual-sim/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/android-tablets-phones/cvfdm231/,http://www.chinavasion.com/android-smartphones/vertex-android-22-smartphone-with-qwerty-keyboard-and-35-inch-touchscreen-dual-sim/
2012-06-04,CVMH-G411,EU/US USB Charging Adapter Kit (for iPhone/iPod/iPad and More),http://www.chinavasion.com/cool-gadgets/euus-usb-charging-adapter-kit-for-iphoneipodipad-and-more/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/cool-gadgets/world-travel-adapter-with-usb-charging-port-2gen/,
2012-06-04,CVEM-M263,"Odyssey Novus - Android 2.2 Smartphone with 3.5 Inch Touchscreen (Dual SIM, Wi-Fi)",http://www.chinavasion.com/android-smartphones/odyssey-novus-android-22-smartphone-with-35-inch-touchscreen-dual-sim-wifi/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/android-smartphones/velox-3g-android-23-smartphone-with-43-inch-hd-screen-high-power-cpu/,http://www.chinavasion.com/android-smartphones/hd-2012-3g-android-23-smartphone-with-43-inch-hd-screen-dual-sim-2gen/
2012-06-04,CVTK-K142,USB 3.0 Dual HDD/SSD Docking Station + Drive Copy,http://www.chinavasion.com/computer-accessories/cvtkk142/,"Product open, back on line",,,,
2012-06-04,CVOP-K179,802.11N High Speed Wireless USB Adapter with Antenna - 150 Mpbs,http://www.chinavasion.com/wifi/80211n-high-speed-wireless-usb-adapter-with-antenna-150-mpbs/,"Product open, back on line",,,,
2012-06-04,CVQW-CS59,Car Rear View Reversing Camera - PAL (Volkswagen Fit),http://www.chinavasion.com/rear-view-cameras/car-rear-view-reversing-camera-pal-volkswagen-fit/,"Product open, back on line",,,,
2012-06-04,CVSB-CS05,Solar Powered Bluetooth Car Kit - Caller ID LCD Display,http://www.chinavasion.com/product_info.php/pName/solar-powered-bluetooth-car-kit-caller-id-lcd-display/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/product_info.php/pName/handsfree-bluetooth-car-kit-solar-powered/,http://www.chinavasion.com/bluetooth-car-kits/easy-bluetooth-car-kit-handsfree-phone-calls-music-fm-transmitter/
2012-06-04,CVIZ-G86,The Singularity - Japanese Style Multicolor LED Watch,http://www.chinavasion.com/product_info.php/pName/the-singularity-japanese-multicolor-led-watch/,"Product closed, put offline",2012-06-12,Product expected back in stock - see date.,,
2012-06-04,CVPT-L16,SoundMax - Over-the-Ear Headphone (Built-in MP3 Player + FM Radio),http://www.chinavasion.com/portable-mp3-players/cvptl16/,"Product closed, put offline",2012-06-13,Product expected back in stock - see date.,,
2012-06-04,CVSL-C116,"11 Inch Roof-Mounted Car DVD Player with Remote Controller (Flip Down LCD Monitor, Tan)",http://www.chinavasion.com/roof-monitors/11-inch-roofmounted-car-dvd-player-with-remote-controller-flip-down-lcd-monitor-tan/,"Product closed, put offline",2012-06-16,Product expected back in stock - see date.,,
2012-06-01,CVSCL-8104-Deluxe,LED Color Changing Faucet Light - Deluxe Edition,http://www.chinavasion.com/product_info.php/pName/led-color-changing-faucet-light-deluxe-edition/,"Product closed, put offline",2012-06-08,Product expected back in stock - see date.,,
2012-06-01,CVGC-LT58,Flexible Blue LED Strip (7 Meters),http://www.chinavasion.com/led-flashlights/flexible-blue-led-strip-7m/,"Product closed, put offline",2012-06-04,Product expected back in stock - see date.,,
2012-06-01,CVIZ-LT43,Anno Domini - Japanese Style Red LED Watch,http://www.chinavasion.com/led-watches/cvizlt43/,"Product open, back on line",,,,
2012-06-01,CVFR-LT41-2GEN,Portable Super Bright White LED Light with Motion Detection,http://www.chinavasion.com/led-lighting/portable-super-bright-white-led-light-with-motion-detection/,"Product open, back on line",,,,
2012-06-01,CVRF-A63-2GEN,Car Parking Sensor with Wireless Camera (Complete Kit Edition),http://www.chinavasion.com/rear-view-cameras/car-parking-sensor-with-wireless-camera-complete-kit-edition/,"Product open, back on line",,,,
2012-06-01,CVLM-I34-2GEN,Skynet One - Nightvision IP Security Camera with WIFI,http://www.chinavasion.com/ip-cameras/skynet-one-nightvision-ip-security-camera-with-wifi/,"Product open, back on line",,,,
2012-06-01,CVFA-H10,Electronic Cigarette Anti Smoking Aid with Realistic Flavor,http://www.chinavasion.com/product_info.php/pName/electronic-cigarette-anti-smoking-aid-with-realistic-flavor/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/personal-health/cvfah47/,http://www.chinavasion.com/personal-health/complete-electronic-cigarette-kit-with-silver-case/
2012-06-01,CVHS-G42-EU,Family GPS Tracker with Messaging - GSM/GPRS/SMS (EU),http://www.chinavasion.com/product_info.php/pName/family-gps-tracker-with-messaging-gsmgprssms-eu/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/gps-tracking-devices/gps-tracker-phone-for-kids-with-sos-calls-and-voice-monitoring-worldwide-quadband-gsm/,http://www.chinavasion.com/product_info.php/pName/gps-tracker-deluxe-two-way-calling-sms-functions/
2012-06-01,CVAU-C106,"Shockwave Lite - 7 Inch HD Touch Car DVD Player (GPS, MP4)",http://www.chinavasion.com/1-din-large-screen/shockwave-lite-7-inch-hd-touch-car-dvd-player-gps-mp4/,"Product closed, put offline",2012-06-14,Product expected back in stock - see date.,,
2012-06-01,CVSH-I145,"Dual-Stream 16 Channel DVR Security System (H.264, Free 500GB HDD)",http://www.chinavasion.com/dvr-cards-systems/dualstream-16-channel-dvr-security-system-h264-free-500gb-hdd/,"Product closed, put offline",2012-06-11,Product expected back in stock - see date.,,
2012-06-01,CVLM-I120-2GEN,"Wired / Wireless IP Surveillance Camera (IR Cut-Off Filter, Angle Control, Motion Detection)",http://www.chinavasion.com/ip-cameras/wired-and-wireless-ip-surveillance-camera-ir-cutoff-filter-angle-control-motion-detection/,"Product closed, put offline",2012-06-08,Product expected back in stock - see date.,,
2012-06-01,CVPI-A68-2GEN,"RCA Composite Cable + USB for iPhone, iPod, iPad",http://www.chinavasion.com/cool-gadgets/rca-composite-cable-usb-for-iphone-ipod-ipad/,"Product closed, put offline",,This product is no longer available and is not coming back.,http://www.chinavasion.com/cool-gadgets/rca-composite-cable-usb-for-iphone-ipod-ipad/,
2012-06-01,CVNI-G170-2GEN,GPS Cellphone Wrist Watch (Worldwide Quadband GSM),http://www.chinavasion.com/gps-tracking-devices/gps-cellphone-wrist-watch-worldwide-quadband-gsm-2gen/,"Product closed, put offline",2012-06-13,Product expected back in stock - see date.,,
2012-06-01,CVKH-BG02,Fingerprint Time Attendance And Door System (Black),http://www.chinavasion.com/product_info.php/pName/fingerprint-time-attendance-and-door-system-black/,"Product open, back on line",,,,
2012-06-01,CVTK-K147,MegaHub - 36 Port Powered USB 2.0 Hub,http://www.chinavasion.com/usb-accessories/cvtkk147/,"Product open, back on line",,,,
2012-06-01,CVSH-I129,Longinus Pro - 1500 Meter Wireless Signal Booster and Receiver Kit (2.4GHz),http://www.chinavasion.com/wireless-receivers/longinus-pro-wireless-signal-booster-receiver-kit-for-security-cams-1500m-range-24ghz/,"Product open, back on line",,,,
2012-05-31,CVTR-H48,Digital Infrared Ear Thermometer,http://www.chinavasion.com/personal-health/cvtrh48/,"Product closed, put offline",2012-06-15,Product expected back in stock - see date.,,
2012-05-31,CVAK-E201,"LED Multimedia Projector with HDMI, VGA, AV and YPrPb",http://www.chinavasion.com/projectors-home-theater/led-multimedia-projector-with-hdmi-vga-av-and-yprpb/,"Product closed, put offline",?,Product expected back in stock - see date.,,
